movie_id,title,release_date,primary_genre,genre_detail,production_country,original_language,runtime_minutes,content_rating,director_name,studio_name,production_budget_krw,theatrical_admissions,platform_release_date,is_platform_original,setting,protagonist,core_conflict,keywords,logline
MOV0001,새벽 세탁소의 지도,2018-03-22,Drama,생활 밀착형 미스터리 드라마,KR,ko,112,12+,김해온,모퉁이필름,2800000000,418203,2022-06-10,false,서울 망원동 골목,야간 세탁소 주인,주머니에서 발견된 손그림 지도의 주인을 찾는다,세탁표|골목지도|새벽,매일 같은 코트에서 나온 지도를 따라가던 세탁소 주인이 이웃들이 숨겨 온 작별의 사연과 마주한다.
MOV0002,을지로에서 별이 고장났다,2021-09-16,Drama,도시 재생 휴먼 드라마,KR,ko,118,12+,서이담,회전문스튜디오,4200000000,736114,2024-01-19,false,서울 을지로 조명상가,간판 수리공,철거를 앞둔 상가의 마지막 불빛을 지켜야 한다,네온사인|재개발|동료애,재개발 통보를 받은 간판 수리공이 오래된 상점들의 불빛을 한밤의 전시로 되살린다.
MOV0003,3번 승강장의 여름,2016-07-28,Drama,청춘 성장 드라마,KR,ko,105,12+,윤다해,여름잠픽처스,1700000000,291840,2021-05-14,false,강원도 간이역,역무원 시험 준비생,폐선 전 마지막 여름을 기록한다,간이역|캠코더|첫출근,폐선을 앞둔 간이역에서 일하게 된 청년이 승객들의 마지막 목적지를 낡은 캠코더에 담는다.
MOV0004,우체통에 남은 온도,2022-09-15,Drama,가족 기억 드라마,KR,ko,124,12+,박은결,달팽이제작소,5100000000,954331,2023-04-07,false,전북 군산 구도심,우편집배원,수취인 없는 편지를 배달하려 한다,미발송편지|부녀관계|겨울,아버지의 배달 구역을 이어받은 집배원이 삼십 년째 돌아오는 편지 한 통의 수취인을 찾아 나선다.
MOV0005,파란 우산 대여점,2020-05-14,Drama,관계 회복 옴니버스,KR,ko,109,ALL,최로운,비오는날필름,2300000000,508772,2023-07-21,false,부산 영도 언덕길,우산 수리점 주인,돌아오지 않는 우산에 얽힌 사연을 모은다,파란우산|언덕길|약속,보증금 대신 사연을 받는 우산 가게 주인이 돌려받지 못한 우산들을 찾아 영도의 골목을 걷는다.
MOV0006,마지막 버스는 바다로 간다,2019-10-03,Drama,로드 무비형 휴먼극,KR,ko,127,15+,문태오,북항시네마,6400000000,1283405,2022-07-15,false,전남 해안 국도,막차 버스기사,노선 폐지 전 승객들의 소원을 들어준다,막차|해안도로|소원,폐지를 하루 앞둔 시외버스 기사와 단골 승객들이 시간표에 없는 바닷가 정류장으로 향한다.
MOV0007,고양이는 월요일에 출근한다,2024-02-08,Drama,직장 생활 휴먼 코미디,KR,ko,101,ALL,한여름,소소한영화사,1900000000,611420,2024-05-03,false,대전 원도심 인쇄소,신입 편집기사,폐업 위기의 인쇄소와 길고양이를 지킨다,인쇄잉크|길고양이|첫직장,낡은 인쇄소에 취직한 청년이 매주 월요일 나타나는 고양이를 통해 말 없는 동료들의 마음을 읽는다.
MOV0008,분실물센터의 달빛,2017-12-14,Drama,도시 관찰 드라마,KR,ko,114,12+,정유담,플랫폼9,3100000000,347892,2021-09-10,false,서울 지하철 유실물센터,야간 계약직 직원,주인 없는 물건으로 실종자의 동선을 복원한다,분실물|교통카드|야간근무,유실물센터 직원이 이름 없는 보청기의 주인을 찾으며 도시에서 사라진 사람들의 흔적을 따라간다.
MOV0009,유리창 너머의 목소리,2022-06-23,Drama,청각 중심 심리 드라마,KR,ko,116,12+,조해인,잔향스튜디오,4700000000,803115,2023-10-13,false,인천 개항장 라디오 부스,소리 채집가,폐국 전 마지막 방송의 발신자를 찾는다,라디오|유리창|파도소리,지역 라디오의 효과음 담당자가 매일 방송에 섞여 드는 정체불명의 파도 소리를 추적한다.
MOV0010,비 오는 날의 수선집,2015-04-09,Drama,세대 공감 드라마,KR,ko,108,ALL,강서온,바늘땀필름,1300000000,225661,2020-08-28,false,대구 서문시장,옷 수선사,주인을 잃은 교복을 완성해야 한다,재봉틀|교복|장마,비 오는 날에만 문을 여는 수선사가 십 년 전 맡겨진 교복의 주인을 기다린다.
