critic_review_id,critic_id,movie_id,score_100,letter_grade,review_title,review_text,reviewed_at,verdict,recommended
CRV00001,CRT001,MOV0054,61,C,낯섦을 선택한 연인의 불완전한 초상,기억을 지우는 장치는 흥미롭지만 관계의 균열을 충분히 축적하지 못한다.,2026-07-01T09:01:00Z,mixed,false
CRV00002,CRT001,MOV0075,44,D,회장을 찾다 길을 잃은 동호회,군상 코미디의 리듬이 반복되는 소동 속에서 빠르게 소진된다.,2026-07-01T09:02:00Z,skip,false
CRV00003,CRT001,MOV0033,79,B,안개를 가르는 22번의 신호,보이지 않는 해역을 음향과 공간 감각으로 설계한 해양 스릴러다.,2026-07-01T09:03:00Z,recommended,true
CRV00004,CRT001,MOV0026,64,C,빈 사물함에 남은 청춘의 불안,학교라는 폐쇄 공간은 유효하지만 결말의 설명이 지나치다.,2026-07-01T09:04:00Z,mixed,false
CRV00005,CRT001,MOV0116,66,C+,별을 줍는 새벽 노동의 우화,환경미화원의 노동과 환상을 잇는 다리는 아름답지만 다소 느슨하다.,2026-07-01T09:05:00Z,mixed,false
CRV00006,CRT001,MOV0063,73,B-,가족 계정에 로그인한 세대 갈등,디지털 사생활을 통해 모녀 관계를 현실적인 웃음으로 번역한다.,2026-07-01T09:06:00Z,recommended,false
CRV00007,CRT001,MOV0111,77,B,이름을 얻은 그림자의 윤리,존재와 호명의 문제를 한국 설화의 질감으로 흥미롭게 풀어낸다.,2026-07-01T09:07:00Z,recommended,true
CRV00008,CRT001,MOV0055,78,B,예약할 수 없는 첫눈의 순서,계절의 우연성을 연애의 망설임과 겹치는 연출이 섬세하다.,2026-07-01T09:08:00Z,recommended,true
CRV00009,CRT001,MOV0139,50,D,종이문 뒤에 갇힌 공포,한지의 질감은 선명하지만 공포의 원형을 새롭게 변주하지 못한다.,2026-07-01T09:09:00Z,skip,false
CRV00010,CRT001,MOV0175,89,A-,수화기 너머 새벽 노동의 얼굴,콜센터 상담원의 목소리를 감정 소비 없이 존중하며 기록한다.,2026-07-01T09:10:00Z,must_watch,true
CRV00011,CRT001,MOV0156,71,B-,파도에 닳은 유리의 노래,환경 메시지와 가족의 기억이 잔잔하게 맞물리는 해변 우화다.,2026-07-01T09:11:00Z,recommended,false
