user_id,display_name,birth_year,gender,region,preferred_language,signup_date,subscription_plan,preferred_genre,preferred_device,watch_time_preference,household_type,account_status
USR0001,엔딩크레딧까지,1991,female,서울,ko,2019-11-08,Premium,Drama,smart_tv,weekday_night,single,active
USR0002,새벽두시관객,1987,male,부산,ko,2020-02-14,Standard,Thriller,mobile,late_night,couple,active
USR0003,팝콘은반반,1998,non_binary,경기,ko,2020-07-03,Basic,Comedy,tablet,weekend_afternoon,shared,active
USR0004,비오는날영화,1979,female,대전,ko,2019-09-21,Standard,Romance,smart_tv,weekday_evening,family,active
USR0005,주말의감독판,1984,male,인천,ko,2020-01-05,Premium,Science Fiction,smart_tv,weekend_night,family,active
USR0006,고래와자막,1995,female,제주,ko,2020-06-18,Standard,Animation,tablet,weekend_morning,single,active
USR0007,장면수집가,1990,male,광주,ko,2019-12-27,Premium,Documentary,web,weekday_night,single,active
USR0008,퇴근후한편,1988,female,서울,ko,2020-03-12,Standard,Drama,mobile,commute,couple,active
USR0009,반전은조용히,1996,male,대구,ko,2020-08-29,Basic,Thriller,mobile,late_night,single,active
USR0010,달빛스크린,1974,female,강원,ko,2019-10-16,Premium,Fantasy,smart_tv,weekend_night,family,active
USR0011,자막읽는고양이,2001,female,경기,ko,2020-09-04,Basic,Romance,tablet,late_night,shared,active
USR0012,오늘도재생중,1982,male,충북,ko,2019-08-23,Standard,Action,smart_tv,weekday_evening,family,active
USR0013,필름냄새,1969,male,부산,ko,2019-11-30,Premium,Documentary,web,weekend_afternoon,couple,active
USR0014,소파일열,1993,female,서울,ko,2020-04-17,Standard,Comedy,smart_tv,weekday_night,single,active
USR0015,한밤의예고편,1989,prefer_not_to_say,울산,ko,2020-05-09,Premium,Horror,game_console,late_night,single,active
USR0016,사운드먼저,1997,male,경기,ko,2020-10-02,Basic,Science Fiction,headset,late_night,shared,active
USR0017,오프닝건너뛰지마,1985,female,서울,ko,2019-07-11,Standard,Drama,smart_tv,weekday_evening,family,active
USR0018,극장뒷자리,1977,male,전북,ko,2019-12-06,Premium,Action,smart_tv,weekend_night,couple,active
USR0019,여름밤필름,1999,female,전남,ko,2020-08-15,Basic,Romance,mobile,late_night,single,active
USR0020,한줄평보관함,1992,male,세종,ko,2020-03-28,Standard,Thriller,web,weekday_night,single,active
USR0021,느린재생,1965,female,경남,ko,2019-06-14,Standard,Drama,smart_tv,weekend_afternoon,family,active
USR0022,장르편식없음,1986,male,충남,ko,2020-01-24,Premium,Fantasy,smart_tv,weekend_night,couple,active
USR0023,쿠키영상대기중,2000,female,서울,ko,2020-11-06,Basic,Action,mobile,late_night,shared,active
USR0024,블루레이없는집,1994,male,부산,ko,2020-06-05,Standard,Science Fiction,game_console,weekend_night,single,active
USR0025,낮잠후영화,1980,female,대구,ko,2019-09-08,Standard,Comedy,tablet,weekend_afternoon,family,active
USR0026,크레딧음악,1972,male,서울,ko,2019-10-31,Premium,Drama,smart_tv,weekday_evening,couple,active
USR0027,포스터모으는중,1996,female,인천,ko,2020-07-19,Basic,Horror,mobile,late_night,single,active
USR0028,두번보는사람,1983,male,광주,ko,2019-12-14,Premium,Thriller,smart_tv,weekend_night,family,active
USR0029,한강뷰어,1990,female,서울,ko,2020-02-29,Standard,Romance,tablet,weekday_night,couple,active
USR0030,무음모드관객,1998,non_binary,경기,ko,2020-10-23,Basic,Documentary,mobile,commute,shared,active
USR0031,토요일첫회,1976,male,대전,ko,2019-05-18,Premium,Action,smart_tv,weekend_morning,family,active
USR0032,눈오는날재생,1989,female,강원,ko,2019-12-21,Standard,Fantasy,smart_tv,weekend_night,single,active
USR0033,대사암기중,1995,male,서울,ko,2020-04-11,Standard,Comedy,web,weekday_night,single,active
USR0034,배경음수집,1981,female,부산,ko,2019-08-02,Premium,Horror,headset,late_night,couple,active
USR0035,작은화면큰감동,2002,female,충북,ko,2020-11-20,Basic,Animation,mobile,commute,shared,active
USR0036,리모컨주인,1968,male,경기,ko,2019-07-26,Premium,Drama,smart_tv,weekday_evening,family,active
USR0037,비밀상영회,1991,female,서울,ko,2020-05-29,Standard,Thriller,tablet,late_night,single,active
