review_id,user_id,movie_id,source_viewing_id,rating,review_title,review_text,reviewed_at
URV000001,USR0001,MOV0035,VEW000001,4.5,빨간 코트가 만든 종점의 긴장,버스 정비사가 블랙박스 사진을 맞춰 가는 과정이 차분해서 마지막 종점 장면까지 몰입했다.,2026-04-18T02:26:16Z
URV000002,USR0001,MOV0180,VEW000002,4,노포의 문을 여는 사람들,오래된 가게를 물려받은 청년들이 생존법을 찾는 모습이 실제 동네 이야기처럼 다가왔다.,2026-02-14T00:16:02Z
URV000003,USR0001,MOV0100,VEW000003,3,가상 가족의 질문은 흥미롭다,종료 명령을 거부하는 가족이라는 설정은 좋았지만 품질검사원의 과거가 조금 급하게 풀렸다.,2025-01-22T17:34:14Z
URV000004,USR0001,MOV0101,VEW000004,1.5,달빛병보다 설명이 많았다,북촌 골목의 분위기는 예뻤지만 소원을 설명하는 대사가 반복돼 신비감이 빨리 사라졌다.,2023-11-17T15:54:56Z
URV000005,USR0002,MOV0128,VEW000013,2.5,갯벌의 시간은 좋았지만,물때표에 없는 썰물이라는 발상은 섬뜩했으나 관광객들의 행동이 자꾸 억지스럽게 느껴졌다.,2026-02-06T00:26:30Z
URV000006,USR0002,MOV0170,VEW000014,1,목욕탕의 온기가 전해지지 않았다,단골들의 사연을 짧게 나열하는 데 그쳐 마지막 영업일의 감정을 충분히 느끼기 어려웠다.,2026-03-21T02:11:14Z
URV000007,USR0002,MOV0191,VEW000015,1.5,파발의 속도만 남은 이야기,역참로 추격은 빠르지만 탄원서를 전달해야 하는 절박함이 인물에게서 잘 보이지 않았다.,2025-12-25T15:13:06Z
URV000008,USR0002,MOV0079,VEW000016,4,동네 생방송의 유쾌한 사고,막내 촬영기사가 주민 제보로 방송을 이어 가는 장면들이 소도시의 활기를 잘 살렸다.,2026-02-01T17:05:28Z
URV000009,USR0003,MOV0094,VEW000025,2.5,무인도 좌표의 반전,생수 한 병의 배송지는 궁금했지만 드론 관제사가 섬으로 향하는 계기가 다소 약했다.,2025-05-07T19:13:31Z
URV000010,USR0003,MOV0003,VEW000026,2.5,간이역의 여름은 예뻤다,캠코더에 승객을 담는 장면은 좋았으나 역무원 준비생의 고민이 익숙한 방식으로 흘렀다.,2026-03-30T10:36:53Z
URV000011,USR0003,MOV0161,VEW000027,3,새벽 시장을 듣는 영화,경매사와 운반원의 목소리는 생생했지만 인물 사이 연결이 조금 더 있었으면 좋았겠다.,2025-07-11T00:30:36Z
URV000012,USR0003,MOV0099,VEW000028,4.5,백 년 뒤에 도착할 편지,폐점하는 우주 우체국에서 마지막 신호를 보내는 장면이 조용하고도 크게 마음에 남았다.,2025-06-14T02:39:07Z
URV000013,USR0004,MOV0186,VEW000037,2.5,자율주행 추격의 아쉬운 속도,항만도로 액션은 선명했지만 순찰관과 해커의 대립이 예상 가능한 방향으로 정리됐다.,2026-07-14T18:19:17Z
URV000014,USR0004,MOV0064,VEW000038,2.5,아파트 선거의 현실감,입주자회의 풍자는 웃겼지만 세입자 대표가 너무 쉽게 주민들을 설득해 후반이 밋밋했다.,2026-05-10T04:25:34Z
URV000015,USR0004,MOV0095,VEW000039,2.5,얼굴 필터가 지운 것,증강현실 상권의 이미지는 인상적이었으나 정체성 문제를 대사로만 설명하는 장면이 많았다.,2026-07-21T15:03:00Z
URV000016,USR0004,MOV0138,VEW000040,3.5,새벽 네 시의 알림음,평범한 푸시 알림을 공포로 바꾸는 방식이 좋았고 원룸 복도의 적막도 꽤 무서웠다.,2026-04-21T14:06:15Z
URV000017,USR0005,MOV0004,VEW000049,2.5,편지의 수취인은 좋았다,군산 구도심과 오래된 우체통은 매력적이지만 부녀의 비밀이 너무 늦게 드러났다.,2025-06-04T06:37:09Z
URV000018,USR0005,MOV0097,VEW000050,4,연결되지 않아 자유로운 집,통신 음영 아파트가 감시를 피한 공동체였다는 설정이 지금의 생활과 맞닿아 흥미로웠다.,2026-02-20T04:35:11Z
URV000019,USR0005,MOV0189,VEW000051,3.5,서울을 가르는 택시의 밤,블랙박스 단서를 따라 달리는 열두 시간이 탄탄했지만 악역의 동기는 조금 평면적이었다.,2026-07-12T21:05:45Z
URV000020,USR0005,MOV0194,VEW000052,3.5,목소리로 착륙시키는 긴장,통신 두절 여객기를 유도하는 교신 장면은 숨 막혔고 지방공항의 동선도 이해하기 쉬웠다.,2026-05-03T08:29:57Z
URV000021,USR0006,MOV0090,VEW000061,1.5,시간 가속에 감정이 뒤처졌다,두 배 빠른 신도시의 시각효과는 좋았지만 시계 수리공의 선택이 갑작스러워 따라가기 어려웠다.,2026-07-15T06:09:53Z
URV000022,USR0006,MOV0079,VEW000062,4,주민 제보가 살린 방송,송출 사고를 즉흥 뉴스로 넘기는 과정이 자연스럽고 시장 공약 폭로도 통쾌했다.,2025-12-03T21:16:55Z
URV000023,USR0006,MOV0018,VEW000063,4,반찬통이 이어 준 골목,냉장고 수리기사가 이웃의 안부를 알아 가는 방식이 과장 없이 따뜻했다.,2024-11-03T17:27:15Z
URV000024,USR0006,MOV0161,VEW000064,2.5,시장 소리는 생생했다,자갈치의 새벽 공기는 잘 담겼지만 비슷한 작업 장면이 길게 반복돼 중반이 늘어졌다.,2024-02-20T08:49:31Z
URV000025,USR0007,MOV0020,VEW000073,1,달력의 약속이 너무 작위적,서른한 개 메모가 인물을 움직이는 장치로만 보여 모녀의 실제 관계가 잘 느껴지지 않았다.,2025-09-26T03:57:07Z
URV000026,USR0007,MOV0011,VEW000074,2,옥상 텃밭의 겨울,공동정원을 옮기는 소재는 좋았지만 주민 사연을 모두 해결하려다 중심 인물이 흐려졌다.,2024-06-13T09:20:51Z
URV000027,USR0007,MOV0095,VEW000075,2.5,업데이트되는 얼굴의 공포,필터가 기억까지 지운다는 발상은 좋았으나 후반 추격은 다른 테크노 스릴러와 비슷했다.,2026-07-07T16:31:14Z
URV000028,USR0007,MOV0124,VEW000076,1,우물의 목소리가 너무 친절했다,무서운 장면마다 과거를 설명해 버려 여름방학 특유의 불안이 오래가지 못했다.,2025-10-12T20:43:52Z
URV000029,USR0008,MOV0183,VEW000085,1.5,산성의 검보다 인물이 약했다,대장간과 방어 장치는 멋졌지만 마지막 사수가 싸워야 하는 개인적 이유가 부족했다.,2025-11-08T02:11:19Z
URV000030,USR0008,MOV0122,VEW000086,4,문 앞 사진이 다가오는 밤,미입주 아파트의 빈 복도와 배송앱 화면을 엮은 공포가 현실적이라 더 섬뜩했다.,2026-06-11T12:14:21Z
URV000031,USR0008,MOV0174,VEW000087,3.5,씨앗 장부의 조용한 힘,고령 농부의 손과 젊은 연구자의 기록 방식이 대비돼 토종 작물 이야기가 선명했다.,2026-02-04T10:50:30Z
URV000032,USR0008,MOV0001,VEW000088,3.5,세탁표 뒤의 골목 지도,코트 주머니의 지도가 이웃의 작별을 이어 주는 과정이 섬세했지만 결말은 조금 예상됐다.,2025-09-08T20:45:16Z
URV000033,USR0009,MOV0087,VEW000097,2.5,우주로 가는 1층의 사람들,지상 안내원의 처지는 설득력 있었지만 탑승권 없는 아이의 등장이 다소 계산적으로 보였다.,2025-09-02T21:01:13Z
URV000034,USR0009,MOV0142,VEW000098,3,첫 비 편지의 귀여운 모험,구름이의 움직임과 무지개 우표는 사랑스러웠지만 위기가 너무 빨리 해결됐다.,2026-06-07T17:36:00Z
URV000035,USR0009,MOV0073,VEW000099,4,기록에는 없는 대리님,조직도와 복사카드만으로 존재를 추적하는 오피스 미스터리가 신선하고 웃겼다.,2024-11-13T02:19:38Z
URV000036,USR0009,MOV0132,VEW000100,2,벽지가 숨 쉬는 집,도배풀과 맥박 소리는 불쾌하게 잘 살렸지만 괴물의 정체를 너무 자세히 보여 줬다.,2024-10-17T01:32:26Z
