viewing_id,user_id,movie_id,started_at,ended_at,watch_minutes,completion_pct,playback_status,device_type,streaming_quality,viewing_country,rewatch_number,discovery_source
VEW000001,USR0001,MOV0035,2026-04-17T19:28:16Z,2026-04-17T21:27:16Z,103,91,completed,smart_tv,4K,KR,0,search
VEW000002,USR0001,MOV0180,2026-02-11T07:33:02Z,2026-02-11T10:02:02Z,134,90,completed,game_console,FHD,KR,0,watchlist
VEW000003,USR0001,MOV0100,2025-01-21T12:12:14Z,2025-01-21T14:14:14Z,108,95,completed,web,FHD,KR,0,home_recommendation
VEW000004,USR0001,MOV0101,2023-11-15T08:58:56Z,2023-11-15T11:36:56Z,149,100,completed,tablet,HD,KR,0,home_recommendation
VEW000005,USR0001,MOV0072,2025-12-22T19:13:53Z,2025-12-22T20:28:53Z,75,65,abandoned,tablet,SD,KR,0,home_recommendation
VEW000006,USR0001,MOV0138,2024-08-01T13:09:16Z,2024-08-01T13:46:16Z,23,26,abandoned,game_console,4K,KR,0,friend_share
VEW000007,USR0001,MOV0032,2025-09-01T11:47:55Z,2025-09-01T14:20:55Z,140,92,completed,web,FHD,KR,0,home_recommendation
VEW000008,USR0001,MOV0146,2025-12-01T07:25:35Z,2025-12-01T08:18:35Z,45,31,abandoned,game_console,HD,KR,0,home_recommendation
VEW000009,USR0001,MOV0195,2026-05-10T20:22:26Z,2026-05-10T21:24:26Z,46,30,abandoned,game_console,4K,KR,0,home_recommendation
VEW000010,USR0001,MOV0088,2024-01-30T08:33:54Z,2024-01-30T10:01:54Z,87,85,completed,game_console,FHD,KR,0,home_recommendation
VEW000011,USR0001,MOV0167,2025-06-23T05:33:03Z,2025-06-23T05:49:03Z,15,19,abandoned,tablet,4K,KR,0,watchlist
VEW000012,USR0001,MOV0033,2025-02-24T16:31:16Z,2025-02-24T16:58:16Z,26,30,abandoned,tablet,FHD,KR,0,trending
VEW000013,USR0002,MOV0128,2026-02-05T20:22:30Z,2026-02-05T21:50:30Z,88,97,completed,mobile,HD,KR,0,home_recommendation
VEW000014,USR0002,MOV0170,2026-03-20T15:56:14Z,2026-03-20T17:59:14Z,105,96,completed,web,HD,KR,0,home_recommendation
VEW000015,USR0002,MOV0191,2025-12-22T09:06:06Z,2025-12-22T11:42:06Z,149,92,completed,game_console,4K,KR,0,watchlist
VEW000016,USR0002,MOV0079,2026-01-28T07:11:28Z,2026-01-28T09:58:28Z,151,99,completed,tablet,4K,KR,0,watchlist
VEW000017,USR0002,MOV0001,2025-10-22T17:22:05Z,2025-10-22T18:01:05Z,30,21,abandoned,tablet,4K,KR,0,home_recommendation
VEW000018,USR0002,MOV0035,2025-10-28T17:24:52Z,2025-10-28T18:09:52Z,40,35,abandoned,mobile,4K,KR,0,watchlist
VEW000019,USR0002,MOV0012,2026-06-22T01:25:51Z,2026-06-22T03:34:51Z,112,83,abandoned,mobile,4K,KR,0,home_recommendation
VEW000020,USR0002,MOV0132,2026-05-21T22:24:56Z,2026-05-21T23:00:56Z,34,35,abandoned,web,FHD,KR,0,trending
VEW000021,USR0002,MOV0167,2026-05-12T16:21:54Z,2026-05-12T16:40:54Z,15,19,abandoned,smart_tv,HD,KR,0,watchlist
VEW000022,USR0002,MOV0088,2025-11-04T20:36:45Z,2025-11-04T22:25:45Z,98,96,completed,mobile,HD,KR,0,search
VEW000023,USR0002,MOV0140,2026-03-03T22:17:12Z,2026-03-04T00:09:12Z,98,78,abandoned,web,4K,KR,0,watchlist
VEW000024,USR0002,MOV0108,2026-04-27T06:27:50Z,2026-04-27T08:17:50Z,104,89,completed,game_console,HD,KR,0,friend_share
